language,cast_0,director,genre_0,company_0,country,cast_num,crew_num
0,0,0,0,0,0,3,3
0,1,1,1,1,0,1,2
0,2,2,0,2,1,3,3
0,3,3,0,3,0,3,3
0,4,4,0,1,0,1,3
0,5,5,2,2,0,3,3
0,6,6,3,1,0,0,3
0,7,7,0,4,0,2,3
0,8,8,1,5,1,1,2
0,9,9,0,6,0,3,3
0,10,10,1,6,0,0,2
0,2,11,1,7,1,1,3
0,1,1,1,1,2,1,2
0,1,1,0,1,0,2,3
0,11,9,0,3,1,1,3
0,12,12,1,8,3,0,3
0,7,7,4,9,0,3,3
0,1,13,1,1,0,1,3
0,13,14,0,10,0,0,2
0,14,15,0,11,4,1,3
0,15,16,0,2,0,2,3
0,16,17,0,12,1,1,2
0,14,15,1,11,4,1,3
0,17,18,1,13,1,1,2
0,18,15,1,11,4,1,3
0,19,0,5,9,0,3,3
0,20,19,1,14,0,3,3
0,4,20,6,15,0,1,3
0,21,21,0,16,0,1,3
0,2,2,0,2,1,0,2
0,5,5,0,2,0,3,3
0,7,22,0,4,5,3,2
0,22,23,7,1,0,1,2
0,23,24,1,0,6,1,3
0,24,25,3,1,0,0,1
0,25,26,4,9,0,1,3
0,26,26,4,9,0,1,3
0,27,5,2,1,0,3,2
0,15,16,0,2,0,2,3
0,28,27,1,1,0,0,2
0,29,28,3,1,0,1,3
0,30,29,1,17,0,0,3
0,31,30,3,1,0,1,3
0,3,31,0,2,7,0,3
0,32,32,0,15,8,2,3
0,33,11,0,9,0,0,2
0,23,10,0,18,1,2,3
0,34,33,0,9,0,3,3
0,35,10,0,13,0,0,3
0,36,34,5,19,0,1,2
0,37,35,1,1,0,0,3
0,38,36,0,3,0,1,2
0,25,26,0,9,0,1,2
0,39,37,1,20,0,1,1
0,40,38,1,1,0,0,1
0,41,39,3,1,0,0,3
0,34,40,0,9,0,1,3
0,42,4,3,1,0,1,3
0,43,24,0,13,0,0,2
0,44,41,0,2,6,2,3
0,45,42,3,8,0,0,1
0,46,43,4,19,0,2,3
0,47,8,0,19,6,1,1
0,48,12,1,8,1,0,2
0,49,10,4,18,0,3,3
0,3,3,5,6,1,3,3
0,50,44,3,21,0,0,3
0,51,45,3,22,0,1,1
0,7,46,0,4,0,3,2
0,52,47,1,9,9,1,3
0,13,14,0,23,0,1,1
0,53,48,1,15,7,0,3
0,13,49,0,6,0,3,3
0,54,50,2,2,0,0,2
0,55,51,0,19,10,1,3
0,56,52,1,15,0,0,3
0,57,53,1,9,3,0,2
0,58,44,5,1,0,2,3
0,59,46,7,1,1,1,2
0,7,46,1,4,0,3,3
0,60,54,1,15,0,1,3
0,61,55,2,1,0,3,1
0,62,56,4,24,0,1,3
0,63,57,0,25,10,0,3
0,64,58,5,26,0,0,3
0,20,19,0,4,0,2,3
0,65,59,8,22,0,1,0
0,66,60,1,1,0,2,3
0,67,61,1,1,0,1,3
0,68,62,7,27,0,2,3
0,31,42,1,28,0,0,3
0,69,41,0,18,0,2,3
0,70,63,2,22,0,0,3
0,71,64,0,2,7,0,3
0,21,65,0,4,1,3,3
0,72,3,1,9,6,1,3
0,36,3,0,3,1,1,2
1,73,66,0,29,8,1,2
0,74,15,1,11,4,1,3
0,75,48,0,15,7,1,3
0,76,67,2,9,0,1,3
0,49,68,0,0,0,1,3
0,77,69,0,14,7,2,3
0,78,70,2,1,0,0,0
0,79,71,1,30,0,0,2
0,1,72,2,1,1,3,3
0,65,73,2,31,0,1,1
0,80,74,0,15,6,1,3
0,71,75,4,9,0,1,3
0,81,76,1,32,0,0,2
0,9,26,9,33,0,3,3
0,25,26,1,9,0,1,3
0,82,77,10,34,9,2,3
0,8,8,1,5,1,3,2
0,8,35,1,35,1,2,2
0,13,20,2,2,0,1,2
0,13,69,5,19,0,0,2
0,1,23,1,19,10,1,3
0,83,78,3,1,0,0,3
0,3,3,0,6,1,3,3
0,84,79,7,22,0,1,0
0,84,80,1,18,0,1,1
0,23,81,1,0,0,2,0
0,64,43,1,19,0,0,2
0,85,82,3,1,0,2,2
0,64,43,1,19,10,2,2
0,86,75,0,4,0,1,3
0,87,83,0,19,10,2,3
0,31,84,6,2,11,1,3
0,86,85,1,4,0,1,2
0,88,61,3,27,0,0,3
0,89,86,2,1,0,0,1
0,0,87,1,3,12,0,2
0,1,23,8,19,10,1,2
0,55,88,0,9,5,3,3
0,90,89,5,15,0,0,3
0,91,90,7,36,0,1,2
0,92,91,3,22,0,1,2
0,93,92,0,9,0,0,0
0,55,33,1,9,5,0,2
0,94,41,0,2,0,0,2
0,95,93,1,27,0,0,0
0,23,94,1,37,1,0,3
0,96,95,1,5,0,0,2
0,97,96,3,36,0,2,1
0,33,71,1,38,0,0,3
0,84,45,3,22,0,0,1
0,98,97,1,7,1,0,0
0,99,98,0,2,0,3,3
0,100,26,0,33,0,2,3
0,101,14,0,2,0,0,3
0,102,42,1,9,0,1,3
0,92,91,0,18,5,1,3
0,55,60,0,9,3,0,2
0,34,99,2,22,0,0,1
0,103,100,8,12,0,0,3
0,55,101,5,39,8,1,2
0,3,17,1,40,12,0,3
0,34,33,4,9,7,3,2
0,5,5,2,2,0,2,3
0,70,102,2,22,0,0,2
0,104,103,2,41,10,1,3
0,105,48,0,42,0,0,2
0,106,9,0,9,0,1,2
0,107,104,0,43,0,0,3
0,108,105,5,15,0,0,3
0,109,106,1,9,0,0,2
0,72,107,0,9,7,0,3
0,110,108,1,2,8,0,3
