language,cast_0,director,genre_0,company_0,country,cast_num,crew_num,popularity,KNeigh,NBGaus,NBGaus_pf,MLP,EnsmblHD,EnsmblSF,EnsmblSW
0,155,967,5,433,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,342,869,5,13,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,469,1515,0,762,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,79,341,0,100,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1784,1468,0,416,6,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,116,1921,8,396,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,111,15,1,11,4,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,1604,1857,5,983,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,560,1040,8,5,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,471,787,5,186,1,0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
0,31,42,1,31,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,469,460,15,88,1,0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,366,262,6,55,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,741,1983,8,1072,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,865,1028,0,481,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1142,1370,8,675,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1826,2092,12,1143,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,78,77,5,9,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,734,338,8,2,0,0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0,273,18,2,9,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,785,945,17,151,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,1437,6,55,6,0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
