language,cast_num,cast_0,crew_num,director,genre_0,company_0,country,cast_bucket
en,83,Sam Worthington,153,James Cameron,Action,Ingenious Film Partners,US,3
en,34,Johnny Depp,32,Gore Verbinski,Adventure,Walt Disney Pictures,US,1
en,83,Daniel Craig,155,Sam Mendes,Action,Columbia Pictures,GB,3
en,158,Christian Bale,217,Christopher Nolan,Action,Legendary Pictures,US,3
en,27,Taylor Kitsch,132,Andrew Stanton,Action,Walt Disney Pictures,US,1
en,143,Tobey Maguire,56,Sam Raimi,Fantasy,Columbia Pictures,US,3
en,13,Zachary Levi,79,Byron Howard,Animation,Walt Disney Pictures,US,0
en,72,Robert Downey Jr.,74,Joss Whedon,Action,Marvel Studios,US,2
en,49,Daniel Radcliffe,27,David Yates,Adventure,Warner Bros.,GB,1
en,152,Ben Affleck,111,Zack Snyder,Action,DC Comics,US,3
en,18,Brandon Routh,24,Bryan Singer,Adventure,DC Comics,US,0
en,32,Daniel Craig,17,Marc Forster,Adventure,Eon Productions,GB,1
en,33,Johnny Depp,23,Gore Verbinski,Adventure,Walt Disney Pictures,JM,1
en,60,Johnny Depp,35,Gore Verbinski,Action,Walt Disney Pictures,US,2
en,33,Henry Cavill,48,Zack Snyder,Action,Legendary Pictures,GB,1
en,21,Ben Barnes,83,Andrew Adamson,Adventure,Walt Disney,CZ,0
en,115,Robert Downey Jr.,147,Joss Whedon,Science Fiction,Paramount Pictures,US,3
en,35,Johnny Depp,39,Rob Marshall,Adventure,Walt Disney Pictures,US,1
en,18,Will Smith,21,Barry Sonnenfeld,Action,Amblin Entertainment,US,0
en,42,Martin Freeman,127,Peter Jackson,Action,WingNut Films,NZ,1
en,57,Andrew Garfield,106,Marc Webb,Action,Columbia Pictures,US,2
en,34,Russell Crowe,18,Ridley Scott,Action,Imagine Entertainment,GB,1
en,32,Martin Freeman,108,Peter Jackson,Adventure,WingNut Films,NZ,1
en,29,Dakota Blue Richards,32,Chris Weitz,Adventure,New Line Cinema,GB,1
en,33,Naomi Watts,38,Peter Jackson,Adventure,WingNut Films,NZ,1
en,136,Kate Winslet,65,James Cameron,Drama,Paramount Pictures,US,3
en,100,Chris Evans,119,Anthony Russo,Adventure,Studio Babelsberg,US,3
en,46,Taylor Kitsch,122,Peter Berg,Thriller,Universal Pictures,US,1
en,28,Chris Pratt,435,Colin Trevorrow,Action,Universal Studios,US,1
en,24,Daniel Craig,30,Sam Mendes,Action,Columbia Pictures,GB,0
en,76,Tobey Maguire,128,Sam Raimi,Action,Columbia Pictures,US,3
en,107,Robert Downey Jr.,29,Shane Black,Action,Marvel Studios,CN,3
en,35,Mia Wasikowska,24,Tim Burton,Family,Walt Disney Pictures,US,1
en,32,Hugh Jackman,39,Brett Ratner,Adventure,Ingenious Film Partners,CA,1
en,24,Billy Crystal,13,Dan Scanlon,Animation,Walt Disney Pictures,US,0
en,37,Shia LaBeouf,55,Michael Bay,Science Fiction,Paramount Pictures,US,1
en,41,Mark Wahlberg,86,Michael Bay,Science Fiction,Paramount Pictures,US,1
en,159,James Franco,31,Sam Raimi,Fantasy,Walt Disney Pictures,US,3
en,65,Andrew Garfield,102,Marc Webb,Action,Columbia Pictures,US,2
en,23,Garrett Hedlund,27,Joseph Kosinski,Adventure,Walt Disney Pictures,US,0
en,47,Owen Wilson,40,John Lasseter,Animation,Walt Disney Pictures,US,1
en,23,Ryan Reynolds,47,Martin Campbell,Adventure,De Line Pictures,US,0
en,45,Tom Hanks,38,Lee Unkrich,Animation,Walt Disney Pictures,US,1
en,15,Christian Bale,55,McG,Action,Columbia Pictures,DE,0
en,52,Vin Diesel,98,James Wan,Action,Universal Pictures,JP,2
en,22,Brad Pitt,31,Marc Forster,Action,Paramount Pictures,US,0
en,65,Hugh Jackman,86,Bryan Singer,Action,Twentieth Century Fox Film Corporation,GB,2
en,98,Chris Pine,107,J.J. Abrams,Action,Paramount Pictures,US,3
en,23,Nicholas Hoult,43,Bryan Singer,Action,New Line Cinema,US,0
en,31,Leonardo DiCaprio,18,Baz Luhrmann,Drama,Village Roadshow Pictures,US,1
en,13,Jake Gyllenhaal,46,Mike Newell,Adventure,Walt Disney Pictures,US,0
en,43,Idris Elba,27,Guillermo del Toro,Action,Legendary Pictures,US,1
en,39,Shia LaBeouf,29,Michael Bay,Action,Paramount Pictures,US,1
en,38,Harrison Ford,14,Steven Spielberg,Adventure,Lucasfilm,US,1
en,19,Raymond Ochoa,11,Peter Sohn,Adventure,Walt Disney Pictures,US,0
en,15,Kelly Macdonald,44,Brenda Chapman,Animation,Walt Disney Pictures,US,0
en,33,Chris Pine,108,Justin Lin,Action,Paramount Pictures,US,1
en,29,Ben Burtt,52,Andrew Stanton,Animation,Walt Disney Pictures,US,1
en,18,Chris Tucker,18,Brett Ratner,Action,New Line Cinema,US,0
en,52,John Cusack,115,Roland Emmerich,Action,Columbia Pictures,CA,2
en,18,Gary Oldman,9,Robert Zemeckis,Animation,Walt Disney,US,0
en,66,Mila Kunis,103,Lilly Wachowski,Science Fiction,Village Roadshow Pictures,US,2
en,34,Alexander Skarsgård,12,David Yates,Action,Village Roadshow Pictures,CA,1
en,24,William Moseley,29,Andrew Adamson,Adventure,Walt Disney,GB,0
en,95,James McAvoy,96,Bryan Singer,Science Fiction,Twentieth Century Fox Film Corporation,US,3
en,134,Christian Bale,81,Christopher Nolan,Drama,DC Comics,GB,3
en,16,Ed Asner,91,Pete Docter,Animation,Pixar Animation Studios,US,0
en,28,Seth Rogen,11,Conrad Vernon,Animation,DreamWorks Animation,US,1
en,87,Robert Downey Jr.,21,Jon Favreau,Action,Marvel Studios,US,3
en,28,Ben Kingsley,77,Martin Scorsese,Adventure,Paramount Pictures,FR,1
en,29,Will Smith,12,Barry Sonnenfeld,Action,"Todman, Simon, LeMasters Productions",US,1
en,15,Brendan Fraser,17,Rob Cohen,Adventure,Universal Pictures,DE,0
en,128,Will Smith,104,David Ayer,Action,DC Comics,US,3
en,18,Steve Carell,27,Tom Shadyac,Fantasy,Columbia Pictures,US,0
en,40,Tom Cruise,111,Doug Liman,Action,Village Roadshow Pictures,AU,1
en,15,Kevin Costner,57,Kevin Reynolds,Adventure,Universal Pictures,US,0
en,23,Dennis Quaid,23,Stephen Sommers,Adventure,Paramount Pictures,CZ,0
en,65,Amy Poehler,50,Pete Docter,Drama,Walt Disney Pictures,US,2
en,30,Neel Sethi,25,Jon Favreau,Family,Walt Disney Pictures,GB,1
en,115,Robert Downey Jr.,33,Jon Favreau,Adventure,Marvel Studios,US,3
en,36,Kristen Stewart,56,Rupert Sanders,Adventure,Universal Pictures,US,1
en,82,Angelina Jolie,14,Robert Stromberg,Fantasy,Walt Disney Pictures,US,3
en,33,Andy Serkis,148,Matt Reeves,Science Fiction,Ingenious Media,US,1
en,19,Josh Hartnett,79,Roland Joffé,Action,Corsan,AU,0
en,24,Keanu Reeves,81,Carl Rinsch,Drama,Mid Atlantic Films,US,0
en,70,Chris Evans,41,Anthony Russo,Action,Marvel Studios,US,2
en,35,Mike Myers,6,Mike Mitchell,Comedy,DreamWorks Animation,US,1
en,52,Britt Robertson,93,Brad Bird,Adventure,Walt Disney Pictures,US,2
en,46,Scott Adsit,39,Chris Williams,Adventure,Walt Disney Pictures,US,1
en,66,John C. Reilly,38,Rich Moore,Family,Walt Disney Animation Studios,US,2
en,10,Tom Hanks,147,Robert Zemeckis,Adventure,Golden Mean,US,0
en,67,Liam Hemsworth,109,Roland Emmerich,Action,Twentieth Century Fox Film Corporation,US,2
en,13,Jay Baruchel,42,Chris Sanders,Fantasy,DreamWorks Animation,US,0
en,14,Arnold Schwarzenegger,144,Jonathan Mostow,Action,Columbia Pictures,DE,0
en,80,Chris Pratt,105,James Gunn,Action,Marvel Studios,GB,3
en,36,Matthew McConaughey,120,Christopher Nolan,Adventure,Paramount Pictures,CA,1
en,29,Leonardo DiCaprio,18,Christopher Nolan,Action,Legendary Pictures,GB,1
ja,49,Hiroki Hasegawa,27,Hideaki Anno,Action,Cine Bazar,JP,1
en,30,Ian McKellen,50,Peter Jackson,Adventure,WingNut Films,NZ,1
en,30,Paul Walker,141,Rob Cohen,Action,Universal Pictures,DE,1
en,37,Cate Blanchett,155,David Fincher,Fantasy,Paramount Pictures,US,1
en,41,James McAvoy,45,Matthew Vaughn,Action,Ingenious Film Partners,US,1
en,51,Jennifer Lawrence,114,Francis Lawrence,Action,Studio Babelsberg,DE,2
en,14,Nicolas Cage,5,Jon Turteltaub,Fantasy,Walt Disney Pictures,US,0
en,14,Kurt Russell,29,Wolfgang Petersen,Adventure,Virtual Studios,US,0
en,98,Johnny Depp,102,James Bobin,Fantasy,Walt Disney Pictures,GB,3
en,41,Mike Myers,15,Chris Miller,Fantasy,DreamWorks SKG,US,1
en,47,Paula Patton,129,Duncan Jones,Action,Universal Pictures,CA,1
en,32,Arnold Schwarzenegger,145,Alan Taylor,Science Fiction,Paramount Pictures,US,1
en,19,Skandar Keynes,31,Michael Apted,Adventure,Dune Entertainment,US,0
en,101,Ben Affleck,114,Michael Bay,History,Jerry Bruckheimer Films,US,3
en,38,Shia LaBeouf,41,Michael Bay,Adventure,Paramount Pictures,US,1
en,51,Colin Farrell,167,Oliver Stone,War,France 3 Cinéma,FR,2
en,80,Daniel Radcliffe,22,David Yates,Adventure,Warner Bros.,GB,3
en,65,Daniel Radcliffe,30,Mike Newell,Adventure,Patalex IV Productions Limited,GB,2
en,33,Will Smith,27,Peter Berg,Fantasy,Columbia Pictures,US,1
en,13,Will Smith,23,Francis Lawrence,Drama,Village Roadshow Pictures,US,0
en,32,Johnny Depp,115,Tim Burton,Adventure,Village Roadshow Pictures,AU,1
en,23,Patton Oswalt,56,Jan Pinkava,Animation,Walt Disney Pictures,US,0
en,113,Christian Bale,137,Christopher Nolan,Action,DC Comics,GB,3
en,42,Ben Stiller,6,Eric Darnell,Family,DreamWorks Animation,US,1
en,42,Ben Stiller,16,Shawn Levy,Adventure,Twentieth Century Fox Film Corporation,US,1
en,63,Hugh Jackman,8,Gavin Hood,Adventure,Ingenious Film Partners,US,2
en,22,Keanu Reeves,25,Lilly Wachowski,Adventure,Village Roadshow Pictures,US,0
en,56,Kristen Bell,25,Chris Buck,Animation,Walt Disney Pictures,US,2
en,74,Keanu Reeves,23,Lilly Wachowski,Adventure,Village Roadshow Pictures,AU,2
en,43,Chris Hemsworth,40,Alan Taylor,Action,Marvel Studios,US,1
en,60,Tom Hardy,76,George Miller,Action,Village Roadshow Pictures,AU,2
en,47,Tom Hanks,107,Ron Howard,Thriller,Columbia Pictures,IT,1
en,32,Chris Hemsworth,30,Kenneth Branagh,Adventure,Marvel Studios,US,1
en,16,John Travolta,156,Chris Williams,Animation,Walt Disney Animation Studios,US,0
en,21,Sam Rockwell,15,Hoyt Yeatman,Fantasy,Walt Disney Pictures,US,0
en,18,Sam Worthington,31,Jonathan Liebesman,Adventure,Legendary Pictures,ES,0
en,25,Johnny Depp,18,Tim Burton,Comedy,Village Roadshow Pictures,AU,1
en,75,Tom Cruise,112,Christopher McQuarrie,Action,Paramount Pictures,CN,3
en,14,Benicio del Toro,47,Joe Johnston,Drama,Universal Pictures,US,0
en,25,Jerry Seinfeld,21,Steve Hickner,Family,Pacific Data Images (PDI),US,1
en,32,Jack Black,23,Jennifer Yuh Nelson,Animation,DreamWorks Animation,US,1
en,21,Noah Ringer,3,M. Night Shyamalan,Action,Paramount Pictures,US,0
en,13,Tom Cruise,26,J.J. Abrams,Adventure,Paramount Pictures,CN,0
en,21,Channing Tatum,22,Roland Emmerich,Action,Columbia Pictures,US,0
en,12,Seth Green,7,Simon Wells,Adventure,Walt Disney Animation Studios,US,0
en,15,Hugh Jackman,34,David Bowers,Adventure,Aardman Animations,GB,0
en,19,Levi Miller,22,Joe Wright,Adventure,Warner Bros.,US,0
en,51,Ty Burrell,11,Rob Minkoff,Animation,Pacific Data Images (PDI),US,2
en,20,Brad Pitt,124,Wolfgang Petersen,Adventure,Plan B Entertainment,US,0
en,12,Ben Stiller,15,Conrad Vernon,Animation,DreamWorks Animation,US,0
en,21,Pierce Brosnan,7,Lee Tamahori,Adventure,Eon Productions,GB,0
en,75,Melissa McCarthy,100,Paul Feig,Action,Columbia Pictures,US,3
en,67,Bruce Willis,108,Michael Bay,Action,Jerry Bruckheimer Films,US,2
