code,name,movie_id,title
US,United States of America,19995,Avatar
US,United States of America,285,Pirates of the Caribbean: At World's End
GB,United Kingdom,206647,Spectre
US,United States of America,49026,The Dark Knight Rises
US,United States of America,49529,John Carter
US,United States of America,559,Spider-Man 3
US,United States of America,38757,Tangled
US,United States of America,99861,Avengers: Age of Ultron
GB,United Kingdom,767,Harry Potter and the Half-Blood Prince
US,United States of America,209112,Batman v Superman: Dawn of Justice
US,United States of America,1452,Superman Returns
GB,United Kingdom,10764,Quantum of Solace
JM,Jamaica,58,Pirates of the Caribbean: Dead Man's Chest
US,United States of America,57201,The Lone Ranger
GB,United Kingdom,49521,Man of Steel
CZ,Czech Republic,2454,The Chronicles of Narnia: Prince Caspian
US,United States of America,24428,The Avengers
US,United States of America,1865,Pirates of the Caribbean: On Stranger Tides
US,United States of America,41154,Men in Black 3
NZ,New Zealand,122917,The Hobbit: The Battle of the Five Armies
US,United States of America,1930,The Amazing Spider-Man
GB,United Kingdom,20662,Robin Hood
NZ,New Zealand,57158,The Hobbit: The Desolation of Smaug
GB,United Kingdom,2268,The Golden Compass
NZ,New Zealand,254,King Kong
US,United States of America,597,Titanic
US,United States of America,271110,Captain America: Civil War
US,United States of America,44833,Battleship
US,United States of America,135397,Jurassic World
GB,United Kingdom,37724,Skyfall
US,United States of America,558,Spider-Man 2
CN,China,68721,Iron Man 3
US,United States of America,12155,Alice in Wonderland
CA,Canada,36668,X-Men: The Last Stand
US,United States of America,62211,Monsters University
US,United States of America,8373,Transformers: Revenge of the Fallen
US,United States of America,91314,Transformers: Age of Extinction
US,United States of America,68728,Oz: The Great and Powerful
US,United States of America,102382,The Amazing Spider-Man 2
US,United States of America,20526,TRON: Legacy
US,United States of America,49013,Cars 2
US,United States of America,44912,Green Lantern
US,United States of America,10193,Toy Story 3
DE,Germany,534,Terminator Salvation
JP,Japan,168259,Furious 7
US,United States of America,72190,World War Z
GB,United Kingdom,127585,X-Men: Days of Future Past
US,United States of America,54138,Star Trek Into Darkness
US,United States of America,81005,Jack the Giant Slayer
US,United States of America,64682,The Great Gatsby
US,United States of America,9543,Prince of Persia: The Sands of Time
US,United States of America,68726,Pacific Rim
US,United States of America,38356,Transformers: Dark of the Moon
US,United States of America,217,Indiana Jones and the Kingdom of the Crystal Skull
US,United States of America,105864,The Good Dinosaur
US,United States of America,62177,Brave
US,United States of America,188927,Star Trek Beyond
US,United States of America,10681,WALL·E
US,United States of America,5174,Rush Hour 3
CA,Canada,14161,2012
US,United States of America,17979,A Christmas Carol
US,United States of America,76757,Jupiter Ascending
CA,Canada,258489,The Legend of Tarzan
GB,United Kingdom,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
US,United States of America,246655,X-Men: Apocalypse
GB,United Kingdom,155,The Dark Knight
US,United States of America,14160,Up
US,United States of America,15512,Monsters vs Aliens
US,United States of America,1726,Iron Man
FR,France,44826,Hugo
US,United States of America,8487,Wild Wild West
DE,Germany,1735,The Mummy: Tomb of the Dragon Emperor
US,United States of America,297761,Suicide Squad
US,United States of America,2698,Evan Almighty
AU,Australia,137113,Edge of Tomorrow
US,United States of America,9804,Waterworld
CZ,Czech Republic,14869,G.I. Joe: The Rise of Cobra
US,United States of America,150540,Inside Out
GB,United Kingdom,278927,The Jungle Book
US,United States of America,10138,Iron Man 2
US,United States of America,58595,Snow White and the Huntsman
US,United States of America,102651,Maleficent
US,United States of America,119450,Dawn of the Planet of the Apes
