id,title,original_language,overview,popularity,release_date,runtime,vote_average,vote_count,cast_num,cast_0_id,cast_0_name,cast_0_gender,cast_1_id,cast_1_name,cast_1_gender,cast_2_id,cast_2_name,cast_2_gender,cast_gender_na,cast_gender_f,cast_gender_m,crew_num,director_id,director_name,genre_0_id,genre_0_name,genre_1_id,genre_1_name,genre_2_id,genre_2_name,keyword_0_id,keyword_0_name,keyword_1_id,keyword_1_name,keyword_2_id,keyword_2_name,keyword_3_id,keyword_3_name,keyword_4_id,keyword_4_name,production_companies_num,production_company_0_id,production_company_0_name,production_company_1_id,production_company_1_name,production_countries_num,production_country_code,production_country_name,spoken_languages_num,spoken_language_code,spoken_language_name
19995,Avatar,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,2009-12-10,162.0,7.2,11800,83,65731,Sam Worthington,2,8691,Zoe Saldana,1,10205,Sigourney Weaver,1,51,12,20,153,2710,James Cameron,28,Action,12,Adventure,14,Fantasy,1463,culture clash,2964,future,3386,space war,3388,space colony,3679,society,4,289,Ingenious Film Partners,306,Twentieth Century Fox Film Corporation,2,US,United States of America,2,en,English
285,Pirates of the Caribbean: At World's End,en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,2007-05-19,169.0,6.9,4500,34,85,Johnny Depp,2,114,Orlando Bloom,2,116,Keira Knightley,1,4,5,25,32,1704,Gore Verbinski,12,Adventure,14,Fantasy,28,Action,270,ocean,726,drug abuse,911,exotic island,1319,east india trading company,2038,love of one's life,3,2,Walt Disney Pictures,130,Jerry Bruckheimer Films,1,US,United States of America,1,en,English
206647,Spectre,en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.37678799999999,2015-10-26,148.0,6.3,4466,83,8784,Daniel Craig,2,27319,Christoph Waltz,2,121529,Léa Seydoux,1,15,13,55,155,39,Sam Mendes,28,Action,12,Adventure,80,Crime,470,spy,818,based on novel,4289,secret agent,9663,sequel,14555,mi6,3,5,Columbia Pictures,10761,Danjaq,2,GB,United Kingdom,5,fr,Français
49026,The Dark Knight Rises,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,2012-07-16,165.0,7.6,9106,158,3894,Christian Bale,2,3895,Michael Caine,2,64,Gary Oldman,2,74,11,73,217,525,Christopher Nolan,28,Action,80,Crime,18,Drama,849,dc comics,853,crime fighter,949,terrorist,1308,secret identity,1437,burglar,4,923,Legendary Pictures,6194,Warner Bros.,1,US,United States of America,1,en,English
49529,John Carter,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,2012-03-07,132.0,6.1,2124,27,60900,Taylor Kitsch,2,21044,Lynn Collins,1,2206,Samantha Morton,1,2,6,19,132,7,Andrew Stanton,28,Action,12,Adventure,878,Science Fiction,818,based on novel,839,mars,1456,medallion,3801,space travel,7376,princess,1,2,Walt Disney Pictures,,,1,US,United States of America,1,en,English
559,Spider-Man 3,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.69981399999999,2007-05-01,139.0,5.9,3576,143,2219,Tobey Maguire,2,205,Kirsten Dunst,1,17051,James Franco,2,54,56,33,56,7623,Sam Raimi,14,Fantasy,28,Action,12,Adventure,851,dual identity,1453,amnesia,1965,sandstorm,2038,love of one's life,3446,forgiveness,3,5,Columbia Pictures,326,Laura Ziskin Productions,1,US,United States of America,2,en,English
38757,Tangled,en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,2010-11-24,100.0,7.4,3330,13,69899,Zachary Levi,2,16855,Mandy Moore,1,2517,Donna Murphy,1,3,2,8,79,76595,Byron Howard,16,Animation,10751,Family,,,1562,hostage,2343,magic,2673,horse,3205,fairy tale,4344,musical,2,2,Walt Disney Pictures,6125,Walt Disney Animation Studios,1,US,United States of America,1,en,English
99861,Avengers: Age of Ultron,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.27922900000002,2015-04-22,141.0,7.3,6767,72,3223,Robert Downey Jr.,2,74568,Chris Hemsworth,2,103,Mark Ruffalo,2,39,11,22,74,12891,Joss Whedon,28,Action,12,Adventure,878,Science Fiction,8828,marvel comic,9663,sequel,9715,superhero,9717,based on comic book,10629,vision,3,420,Marvel Studios,15357,Prime Focus,1,US,United States of America,1,en,English
767,Harry Potter and the Half-Blood Prince,en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,2009-07-07,153.0,7.4,5293,49,10980,Daniel Radcliffe,2,10989,Rupert Grint,2,10990,Emma Watson,1,8,17,24,27,11343,David Yates,12,Adventure,14,Fantasy,10751,Family,616,witch,2343,magic,3872,broom,3884,school of witchcraft,6333,wizardry,2,6194,Warner Bros.,7364,Heyday Films,2,GB,United Kingdom,1,en,English
209112,Batman v Superman: Dawn of Justice,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,2016-03-23,151.0,5.7,7004,152,880,Ben Affleck,2,73968,Henry Cavill,2,90633,Gal Gadot,1,28,40,84,111,15217,Zack Snyder,28,Action,12,Adventure,14,Fantasy,849,dc comics,7002,vigilante,9715,superhero,9717,based on comic book,9748,revenge,6,429,DC Comics,507,Atlas Entertainment,1,US,United States of America,1,en,English
