id,name,movie_id,title,production_company
289.0,Ingenious Film Partners,19995,Avatar,0
306.0,Twentieth Century Fox Film Corporation,19995,Avatar,1
2.0,Walt Disney Pictures,285,Pirates of the Caribbean: At World's End,0
130.0,Jerry Bruckheimer Films,285,Pirates of the Caribbean: At World's End,1
5.0,Columbia Pictures,206647,Spectre,0
10761.0,Danjaq,206647,Spectre,1
923.0,Legendary Pictures,49026,The Dark Knight Rises,0
6194.0,Warner Bros.,49026,The Dark Knight Rises,1
2.0,Walt Disney Pictures,49529,John Carter,0
5.0,Columbia Pictures,559,Spider-Man 3,0
326.0,Laura Ziskin Productions,559,Spider-Man 3,1
2.0,Walt Disney Pictures,38757,Tangled,0
6125.0,Walt Disney Animation Studios,38757,Tangled,1
420.0,Marvel Studios,99861,Avengers: Age of Ultron,0
15357.0,Prime Focus,99861,Avengers: Age of Ultron,1
6194.0,Warner Bros.,767,Harry Potter and the Half-Blood Prince,0
7364.0,Heyday Films,767,Harry Potter and the Half-Blood Prince,1
429.0,DC Comics,209112,Batman v Superman: Dawn of Justice,0
507.0,Atlas Entertainment,209112,Batman v Superman: Dawn of Justice,1
429.0,DC Comics,1452,Superman Returns,0
923.0,Legendary Pictures,1452,Superman Returns,1
7576.0,Eon Productions,10764,Quantum of Solace,0
2.0,Walt Disney Pictures,58,Pirates of the Caribbean: Dead Man's Chest,0
130.0,Jerry Bruckheimer Films,58,Pirates of the Caribbean: Dead Man's Chest,1
2.0,Walt Disney Pictures,57201,The Lone Ranger,0
130.0,Jerry Bruckheimer Films,57201,The Lone Ranger,1
923.0,Legendary Pictures,49521,Man of Steel,0
6194.0,Warner Bros.,49521,Man of Steel,1
5888.0,Walt Disney,2454,The Chronicles of Narnia: Prince Caspian,0
10221.0,Walden Media,2454,The Chronicles of Narnia: Prince Caspian,1
4.0,Paramount Pictures,24428,The Avengers,0
420.0,Marvel Studios,24428,The Avengers,1
2.0,Walt Disney Pictures,1865,Pirates of the Caribbean: On Stranger Tides,0
130.0,Jerry Bruckheimer Films,1865,Pirates of the Caribbean: On Stranger Tides,1
56.0,Amblin Entertainment,41154,Men in Black 3,0
5627.0,Media Magik Entertainment,41154,Men in Black 3,1
11.0,WingNut Films,122917,The Hobbit: The Battle of the Five Armies,0
12.0,New Line Cinema,122917,The Hobbit: The Battle of the Five Armies,1
5.0,Columbia Pictures,1930,The Amazing Spider-Man,0
326.0,Laura Ziskin Productions,1930,The Amazing Spider-Man,1
23.0,Imagine Entertainment,20662,Robin Hood,0
33.0,Universal Pictures,20662,Robin Hood,1
11.0,WingNut Films,57158,The Hobbit: The Desolation of Smaug,0
12.0,New Line Cinema,57158,The Hobbit: The Desolation of Smaug,1
12.0,New Line Cinema,2268,The Golden Compass,0
289.0,Ingenious Film Partners,2268,The Golden Compass,1
11.0,WingNut Films,254,King Kong,0
33.0,Universal Pictures,254,King Kong,1
4.0,Paramount Pictures,597,Titanic,0
306.0,Twentieth Century Fox Film Corporation,597,Titanic,1
264.0,Studio Babelsberg,271110,Captain America: Civil War,0
420.0,Marvel Studios,271110,Captain America: Civil War,1
33.0,Universal Pictures,44833,Battleship,0
2598.0,Hasbro,44833,Battleship,1
13.0,Universal Studios,135397,Jurassic World,0
56.0,Amblin Entertainment,135397,Jurassic World,1
5.0,Columbia Pictures,37724,Skyfall,0
5.0,Columbia Pictures,558,Spider-Man 2,0
326.0,Laura Ziskin Productions,558,Spider-Man 2,1
420.0,Marvel Studios,68721,Iron Man 3,0
2.0,Walt Disney Pictures,12155,Alice in Wonderland,0
598.0,Team Todd,12155,Alice in Wonderland,1
289.0,Ingenious Film Partners,36668,X-Men: The Last Stand,0
306.0,Twentieth Century Fox Film Corporation,36668,X-Men: The Last Stand,1
2.0,Walt Disney Pictures,62211,Monsters University,0
3.0,Pixar Animation Studios,62211,Monsters University,1
4.0,Paramount Pictures,8373,Transformers: Revenge of the Fallen,0
27.0,DreamWorks SKG,8373,Transformers: Revenge of the Fallen,1
4.0,Paramount Pictures,91314,Transformers: Age of Extinction,0
56.0,Amblin Entertainment,91314,Transformers: Age of Extinction,1
